epoch,acc,loss,val_acc,val_loss
0,0.6075129533678757,6.2955988305838,0.5921875,6.573160839080811
1,0.6057504873536406,6.354551312519096,0.5921875,6.573160839080811
0,0.6288860103626943,0.661066280127807,0.56875,4.956955111026764
1,0.663905133261473,0.6157056063975197,0.5921875,6.1224758386611935
2,0.6728835549982499,0.6074850188614755,0.584375,4.170719242095947
3,0.6796951022312079,0.5919392846483632,0.590625,5.656100332736969
4,0.7004533678756477,0.5834058560237984,0.5875,5.398879611492157
5,0.6986722797927462,0.5764255066609754,0.590625,5.52870500087738
6,0.714401556925073,0.559089702172516,0.5921875,6.46394305229187
7,0.7074398960170225,0.5644879499722643,0.5921875,6.037898349761963
8,0.7161593264248705,0.5562607956364982,0.5921875,6.302903556823731
9,0.7335387608697961,0.5344728433849979,0.5921875,6.538964653015137
10,0.7302951669677527,0.5392568571166175,0.59375,6.460852313041687
11,0.7334844559585493,0.5343017443782925,0.5921875,6.553068923950195
12,0.7296946070425072,0.5382274076139253,0.5921875,6.553878736495972
13,0.7493523316062176,0.5101038785796091,0.5921875,6.557454395294189
14,0.7504054492184221,0.5081917206807218,0.5921875,6.4195194959640505
15,0.7495142487046632,0.5071261949798603,0.5921875,6.451173496246338
16,0.7559195588905626,0.5043713141871937,0.5921875,6.555630683898926
17,0.7675964968992525,0.49326773538359026,0.5921875,6.563340330123902
18,0.769056114097172,0.47953947687396514,0.5921875,6.568878078460694
19,0.7716509893928067,0.47776245133195494,0.5921875,6.554545450210571
20,0.7762305699481865,0.4644850378209445,0.5921875,6.514035081863403
