epoch,acc,categorical_accuracy,loss,val_acc,val_categorical_accuracy,val_loss
0,0.4633891208401285,0.4633891208401285,731.2403314183447,0.5,0.5,26853.2861328125
1,0.46129707063092346,0.46129707063092346,695.1902705874902,0.4895833333333333,0.4895833333333333,26112.306315104168
2,0.47907949797029775,0.47907949797029775,662.0853805222771,0.4791666666666667,0.4791666666666667,25431.622721354168
3,0.45711297096068887,0.45711297096068887,627.9229894662003,0.46875,0.46875,24808.906901041668
4,0.49058577412092536,0.49058577412092536,594.1956258478524,0.4635416666666667,0.4635416666666667,24038.186848958332
5,0.4633891208401285,0.4633891208401285,556.6305884197666,0.484375,0.484375,23598.867513020832
6,0.46652719677741555,0.46652719677741555,518.3745622834401,0.4947916666666667,0.4947916666666667,23271.6611328125
7,0.4552083333333333,0.4552083333333333,483.2360799153646,0.4947916666666667,0.4947916666666667,22804.3828125
0,0.49267782451717423,0.49267782451717423,585.3981057649876,0.5520833333333334,0.5520833333333334,22332.494791666668
1,0.5000000002493918,0.5000000002493918,321.5730248614834,0.4947916666666667,0.4947916666666667,18374.693033854168
0,0.5073221758569135,0.5073221758569135,735.4022053355452,0.53125,0.53125,28814.129557291668
1,0.5010416666666667,0.5010416666666667,707.0533203125,0.5208333333333334,0.5208333333333334,28299.3525390625
2,0.5041841011665855,0.5041841011665855,673.7569924837376,0.5208333333333334,0.5208333333333334,27601.935546875
3,0.5000000010017588,0.5000000010017588,639.272597625476,0.5208333333333334,0.5208333333333334,26842.083984375
4,0.5083682003380364,0.5083682003380364,609.335570778308,0.5208333333333334,0.5208333333333334,26175.531901041668
5,0.5031380745656321,0.5031380745656321,580.3254872086657,0.5208333333333334,0.5208333333333334,25549.201497395832
0,0.49999999975060816,0.5,755.2773652016867,0.5078125,0.4947916666666667,28192.319010416668
1,0.510460251170721,0.5094142255673348,721.316232082734,0.5078125,0.4947916666666667,27203.788411458332
0,0.4701882848929162,0.4707112968217379,0.7545474869935582,0.5208333333333334,0.5,4.821192661921184
1,0.5277196647731829,0.556485355149752,0.7126449700678742,0.4791666666666667,0.5,4.793930292129517
2,0.5543933046911551,0.5742677824267782,0.6994907641510585,0.4765625,0.5,4.8353480497996015
3,0.5653765695364406,0.5941422586660505,0.6789718644389547,0.4817708333333333,0.5,4.949766318003337
4,0.6087866113774447,0.6412133888719471,0.6603780376362501,0.4869791666666667,0.5,4.997579177220662
5,0.6385983261104408,0.689330543184879,0.6391576536030948,0.4895833333333333,0.5,5.054041147232056
6,0.6380753138075314,0.6778242670342514,0.6365835479612629,0.4869791666666667,0.5,5.257464408874512
7,0.6569037661891602,0.6924686189974701,0.6217478803012162,0.4895833333333333,0.5,5.357449293136597
8,0.6867154816703318,0.7071129707112971,0.6068267547934624,0.5,0.5,5.557453393936157
9,0.7041666666666667,0.7541666666666667,0.583550089597702,0.4921875,0.5,5.347739219665527
10,0.7207112978193052,0.7552301260217962,0.5707468166012145,0.5026041666666666,0.5,5.855164210001628
11,0.730567227141196,0.7552521015916552,0.5626908357904739,0.4973958333333333,0.5,5.4820609887441
12,0.70625,0.734375,0.580989670753479,0.5052083333333334,0.5,5.6605203946431475
13,0.724372385685414,0.7531380758125912,0.5635629934745853,0.5,0.5,5.879135529200236
14,0.7405462189882743,0.7584033628471759,0.5647484211861586,0.5,0.5,5.843243360519409
15,0.7505230133004767,0.774058577156466,0.5383353265758338,0.4973958333333333,0.5,6.200376669565837
16,0.7588912138879049,0.7782426785724432,0.5416015948959974,0.5052083333333334,0.5,5.49651026725769
17,0.7614583333333333,0.784375,0.5238435099522273,0.4947916666666667,0.5,6.583023548126221
0,0.5115062754024522,0.4874476994929453,0.7370325583793129,0.4739583333333333,0.5052083333333334,2.4408084948857627
1,0.5167364015489443,0.5135983266092244,0.7177745926829062,0.4739583333333333,0.4947916666666667,3.011379917462667
2,0.5287656903765691,0.556485356396711,0.7062183022499084,0.4661458333333333,0.5,3.0468661387761435
3,0.5559623425974507,0.5732217575715676,0.6901852967350054,0.4765625,0.4947916666666667,3.0692060788472495
4,0.5685146438526808,0.5951882842694366,0.6864587370321841,0.4739583333333333,0.515625,3.331084211667379
5,0.5978033475297265,0.6182008370694755,0.6677256308838913,0.4765625,0.5104166666666666,3.9958571592966714
6,0.5998953982377152,0.6265690384050793,0.6710926416528774,0.4635416666666667,0.515625,3.688154141108195
7,0.6218619241874088,0.6380753135581395,0.6548915490445731,0.4661458333333333,0.5104166666666666,3.730343500773112
0,0.4905857740585774,0.4947698752251629,0.8016281033160796,0.484375,0.484375,6.998053312301636
1,0.4989539743966139,0.5062761508770068,0.7734448697776475,0.484375,0.484375,6.792107820510864
2,0.4947916666666667,0.48125,0.772832187016805,0.484375,0.484375,6.737482070922852
3,0.5246848729478211,0.5357142863403849,0.739502243134154,0.484375,0.484375,6.754330635070801
4,0.5339958156501897,0.5397489547230708,0.735397321659152,0.484375,0.484375,6.671618223190308
5,0.5256276148133697,0.526150627240975,0.733683629514782,0.484375,0.484375,6.813039223353068
6,0.5484375,0.5625,0.7044631520907084,0.484375,0.484375,6.326827843983968
7,0.5477941183983779,0.5556722704102012,0.7148397832858462,0.484375,0.484375,6.7787478764851885
8,0.5690376561555902,0.5930962338108398,0.6921975739830208,0.484375,0.484375,6.974125226338704
9,0.5726987440216991,0.6046025109590347,0.6852235462376264,0.484375,0.484375,6.932716131210327
10,0.5847280334728033,0.6035564853556485,0.6748717876158997,0.484375,0.484375,6.536347230275472
11,0.584728033971587,0.6035564856050404,0.6730751178254643,0.484375,0.484375,7.092151482899983
0,0.5115062757765398,0.5115062757765398,0.747162371250376,0.4791666666666667,0.4791666666666667,4.2015723784764605
1,0.5197916666666667,0.5197916666666667,0.7312237600485484,0.4947916666666667,0.4947916666666667,3.3536131779352822
2,0.538865546468927,0.538865546468927,0.7129551745763346,0.4791666666666667,0.4791666666666667,1.892147680123647
3,0.54375,0.54375,0.6982621192932129,0.484375,0.484375,1.2663414080937703
4,0.5409663860537425,0.5409663860537425,0.7006404532604859,0.484375,0.484375,0.9619996945063273
5,0.56171548142094,0.56171548142094,0.6895301823336709,0.4895833333333333,0.4895833333333333,0.8046775360902151
6,0.5449790802460834,0.5449790802460834,0.697762290304176,0.4895833333333333,0.4895833333333333,0.7354391316572825
7,0.583682008118809,0.583682008118809,0.6726557328112455,0.4895833333333333,0.4895833333333333,0.7168066998322805
8,0.5658995812158705,0.5658995812158705,0.6796302558487928,0.4791666666666667,0.4791666666666667,0.7114993830521902
9,0.6020833333333333,0.6020833333333333,0.6733296930789947,0.4895833333333333,0.4895833333333333,0.7272437810897827
10,0.5878661087866108,0.5878661087866108,0.6714909500656766,0.484375,0.484375,0.7166864375273386
11,0.5962343101222146,0.5962343101222146,0.6680396398739835,0.484375,0.484375,0.715480258067449
